datetime,air_temp_ext1,apperture_ext1,air_temp_ib_facade,r_humid_ib_facade,air_temp_ib_roof,r_humid_ib_roof
2022-04-01 18:00:00,25.0,5249.0,28.74,13.82,21.47,21.3
2022-04-01 19:00:00,25.0,5248.0,28.38,14.03,22.09,20.94
2022-04-01 20:00:00,25.0,5248.0,28.02,14.24,22.71,20.57
2022-04-01 21:00:00,25.0,5248.0,27.66,14.46,23.34,20.2
2022-04-01 22:00:00,25.0,5249.0,27.3,14.67,23.96,19.83
2022-04-01 23:00:00,25.0,5249.0,26.94,14.88,24.59,19.47
2022-04-02 00:00:00,24.96,5248.0,26.58,15.09,25.21,19.1
2022-04-02 01:00:00,24.899999999999995,5247.0,26.22,15.31,25.84,18.73
2022-04-02 02:00:00,24.9,5248.0,28.66,17.34,26.46,18.36
2022-04-02 03:00:00,24.88,5247.0,29.1,16.65,27.09,17.99
2022-04-02 04:00:00,24.82,5247.0,29.54,15.96,24.42,17.76
2022-04-02 05:00:00,24.8,5247.0,29.98,15.26,23.84,17.67
2022-04-02 06:00:00,24.8,5247.0,30.42,14.57,23.26,17.58
2022-04-02 07:00:00,24.875,5247.0,30.86,13.88,22.68,17.49
2022-04-02 08:00:00,24.95,5247.0,31.3,13.18,22.1,17.4
2022-04-02 09:00:00,25.0,5248.0,31.74,12.49,21.51,17.31
2022-04-02 10:00:00,25.0,5248.0,32.18,11.8,20.93,17.22
2022-04-02 11:00:00,25.05,5249.0,32.62,11.1,20.35,17.13
2022-04-02 12:00:00,25.175,5250.0,32.19,10.96,19.77,17.04
2022-04-02 13:00:00,25.266666666666666,5250.0,31.82,11.12,19.18,16.94
2022-04-02 14:00:00,25.3,5250.0,31.44,11.29,19.2,17.2
2022-04-02 15:00:00,25.3,5250.0,31.06,11.45,19.85,17.1
2022-04-02 16:00:00,25.3,5250.0,30.68,11.62,20.5,17.0
2022-04-02 17:00:00,25.3,5250.0,30.3,11.78,21.15,16.89
2022-04-02 18:00:00,25.266666666666666,5250.0,29.92,11.95,21.8,16.79
2022-04-02 19:00:00,25.275,5250.0,29.54,12.11,22.46,16.68
2022-04-02 20:00:00,25.3,5250.0,29.16,12.28,23.11,16.58
2022-04-02 21:00:00,25.3,5250.0,28.78,12.45,23.76,16.47
2022-04-02 22:00:00,25.3,5250.0,27.98,12.86,24.41,16.37
2022-04-02 23:00:00,25.3,5250.0,28.73,13.1,25.07,16.26
2022-04-03 00:00:00,25.2,5250.0,29.48,13.34,24.25,15.95
2022-04-03 01:00:00,25.14,5249.0,30.23,13.59,23.69,16.15
2022-04-03 02:00:00,25.1,5249.0,30.98,13.83,23.13,16.36
2022-04-03 03:00:00,25.1,5249.0,31.73,14.07,22.56,16.57
2022-04-03 04:00:00,25.100000000000005,5249.0,32.48,14.32,22.0,16.78
2022-04-03 05:00:00,25.1,5248.0,33.23,14.56,21.43,16.99
2022-04-03 07:00:00,25.1,5249.0,34.73,15.05,20.3,17.41
2022-04-03 08:00:00,25.15,5249.0,35.22,12.73,19.74,17.62
2022-04-03 09:00:00,25.3,5250.0,34.95,12.55,19.17,17.83
2022-04-03 10:00:00,25.333333333333332,5250.0,34.67,12.36,18.63,17.99
2022-04-03 11:00:00,25.45,5250.0,34.39,12.17,19.47,17.76
2022-04-03 12:00:00,25.525,5248.0,34.11,11.98,20.31,17.53
2022-04-03 13:00:00,25.583333333333332,5248.0,33.83,11.8,21.15,17.3
2022-04-03 14:00:00,25.5,5248.0,33.55,11.61,21.99,17.07
2022-04-03 15:00:00,25.54,5248.0,33.27,11.42,22.83,16.83
2022-04-03 16:00:00,25.6,5247.0,32.99,11.23,23.67,16.6
2022-04-03 17:00:00,25.600000000000005,5248.0,32.71,11.04,24.51,16.37
2022-04-03 18:00:00,25.575000000000003,5248.0,29.88,11.21,25.35,16.14
2022-04-03 19:00:00,25.7,5243.0,30.26,11.36,26.19,15.9
2022-04-03 20:00:00,25.6,5242.0,30.65,11.51,25.89,16.19
2022-04-03 21:00:00,25.566666666666666,5242.0,31.04,11.66,25.18,16.34
2022-04-03 22:00:00,25.5,5241.0,31.43,11.81,24.46,16.49
2022-04-03 23:00:00,25.5,5242.0,31.81,11.97,23.74,16.65
2022-04-04 00:00:00,25.5,5242.0,32.2,12.12,23.02,16.8
2022-04-04 01:00:00,25.5,5241.0,32.59,12.27,22.3,16.96
2022-04-04 02:00:00,25.5,5241.0,32.98,12.42,21.58,17.11
2022-04-04 03:00:00,25.419999999999998,5241.0,33.37,12.58,20.86,17.27
2022-04-04 04:00:00,25.38333333333333,5241.0,34.36,10.94,20.14,17.42
2022-04-04 05:00:00,25.3,5240.0,34.61,10.67,19.42,17.58
2022-04-04 06:00:00,25.325,5240.0,34.87,10.39,18.2,16.91
2022-04-04 07:00:00,25.46666666666667,5241.0,35.13,10.11,19.1,17.1
2022-04-04 08:00:00,25.560000000000002,5242.0,35.39,9.84,20.0,17.3
2022-04-04 09:00:00,25.6,5242.0,35.64,9.56,20.91,17.5
2022-04-04 10:00:00,25.639999999999997,5242.0,35.9,9.28,21.81,17.7
2022-04-04 11:00:00,25.6,5242.0,36.16,9.01,22.71,17.89
2022-04-04 12:00:00,25.7,5242.0,36.42,8.73,23.62,18.09
2022-04-04 13:00:00,25.7,5243.0,36.68,8.45,24.52,18.29
2022-04-04 14:00:00,25.8,5242.0,34.98,8.3,25.42,18.49
